0.072480 0.0000 0002 0.242244 -3.073309 0.500000+0.000000i 0.461917-0.164695i 0.461917+0.164695i 0.500000-0.000000i 0.462740-0.164995i 
0.074551 0.0000 0002 0.249088 -3.074873 0.500000+0.000000i 0.463598-0.158672i 0.463598+0.158672i 0.500000+0.000000i 0.464330-0.158929i 
0.076622 0.0000 0002 0.255926 -3.076481 0.500000+0.000000i 0.464917-0.152535i 0.464917+0.152535i 0.500000+0.000000i 0.465830-0.152841i 
0.078692 0.0000 0002 0.262757 -3.078134 0.500000+0.000000i 0.466155-0.146388i 0.466155+0.146388i 0.500000-0.000000i 0.467238-0.146734i 
0.080763 0.0000 0002 0.269581 -3.079831 0.500000+0.000000i 0.467409-0.140259i 0.467409+0.140259i 0.500000+0.000000i 0.468554-0.140609i 
0.082834 0.0000 0003 0.276398 -3.081573 0.500000+0.000000i 0.468680-0.134147i 0.468680+0.134147i 0.500000+0.000000i 0.469778-0.134468i 
0.084905 0.0000 0003 0.283207 -3.083359 0.500000+0.000000i 0.469389-0.127890i 0.469389+0.127890i 0.500000+0.000000i 0.470911-0.128311i 
0.086976 0.0000 0003 0.290009 -3.085189 0.500000+0.000000i 0.470017-0.121633i 0.470017+0.121633i 0.500000+0.000000i 0.471951-0.122140i 
0.089046 0.0000 0003 0.296803 -3.087064 0.500000+0.000000i 0.470853-0.115449i 0.470853+0.115449i 0.500000+0.000000i 0.472898-0.115957i 
0.091117 0.0000 0003 0.303589 -3.088984 0.500000+0.000000i 0.471706-0.109283i 0.471706+0.109283i 0.500000+0.000000i 0.473753-0.109763i 
0.093188 0.0000 0003 0.310368 -3.090948 0.500000+0.000000i 0.472578-0.103131i 0.472578+0.103131i 0.500000-0.000000i 0.474515-0.103560i 
0.095259 0.0000 0003 0.317137 -3.092957 0.500000+0.000000i 0.473370-0.096970i 0.473370+0.096970i 0.500000+0.000000i 0.475185-0.097349i 
0.097329 0.0000 0003 0.323899 -3.095011 0.500000+0.000000i 0.474279-0.090840i 0.474279+0.090840i 0.500000+0.000000i 0.475761-0.091131i 
0.099400 0.0000 0003 0.330651 -3.097109 0.500000+0.000000i 0.474125-0.084523i 0.474125+0.084523i 0.500000+0.000000i 0.476245-0.084908i 
0.101471 0.0000 0003 0.337394 -3.099252 0.500000+0.000000i 0.474578-0.078335i 0.474578+0.078335i 0.500000+0.000000i 0.476635-0.078681i 
0.103542 0.0000 0003 0.344129 -3.101440 0.500000+0.000000i 0.475347-0.072205i 0.475347+0.072205i 0.500000+0.000000i 0.476932-0.072452i 
0.105613 0.0000 0003 0.350853 -3.103672 0.500000+0.000000i 0.475939-0.066050i 0.475939+0.066050i 0.500000-0.000000i 0.477137-0.066223i 
0.107683 0.0000 0003 0.357569 -3.105950 0.500000+0.000000i 0.475955-0.059825i 0.475955+0.059825i 0.500000-0.000000i 0.477248-0.059994i 
0.109754 0.0000 0003 0.364274 -3.108272 0.500000+0.000000i 0.475990-0.053617i 0.475990+0.053617i 0.500000-0.000000i 0.477267-0.053767i 
0.111825 0.0000 0003 0.370969 -3.110639 0.500000+0.000000i 0.476243-0.047443i 0.476243+0.047443i 0.500000+0.000000i 0.477193-0.047544i 
0.113896 0.0000 0003 0.377654 -3.113051 0.500000+0.000000i 0.475918-0.041224i 0.475918+0.041224i 0.500000+0.000000i 0.477026-0.041326i 
0.115967 0.0000 0003 0.384329 -3.115508 0.500000+0.000000i 0.475911-0.035046i 0.475911+0.035046i 0.500000+0.000000i 0.476766-0.035115i 
0.118037 0.0000 0003 0.390993 -3.118010 0.500000+0.000000i 0.475725-0.028863i 0.475725+0.028863i 0.500000-0.000000i 0.476414-0.028911i 
0.120108 0.0000 0003 0.397646 -3.120557 0.500000+0.000000i 0.475759-0.022701i 0.475759+0.022701i 0.500000-0.000000i 0.475970-0.022717i 
0.122179 0.0000 0003 0.404288 -3.123149 0.500000+0.000000i 0.475313-0.016524i 0.475313+0.016524i 0.500000-0.000000i 0.475434-0.016534i 
0.124250 0.0000 0003 0.410919 -3.125787 0.500000+0.000000i 0.474587-0.010352i 0.474587+0.010352i 0.500000+0.000000i 0.474806-0.010363i 
0.126321 0.0000 0003 0.417538 -3.128469 0.500000+0.000000i 0.474081-0.004200i 0.474081+0.004200i 0.500000+0.000000i 0.474086-0.004206i 
0.128391 0.0000 0003 0.424145 -3.131197 0.500000+0.000000i 0.473596+0.001944i 0.473596-0.001944i 0.500000+0.000000i 0.473275+0.001936i 
0.130462 0.0000 0003 0.430740 -3.133970 0.500000+0.000000i 0.472131+0.008064i 0.472131-0.008064i 0.500000+0.000000i 0.472373+0.008062i 
0.132533 0.0000 0003 0.437323 -3.136788 0.500000+0.000000i 0.471287+0.014173i 0.471287-0.014173i 0.500000+0.000000i 0.471381+0.014169i 
0.134604 0.0000 0003 0.443893 -3.139651 0.500000+0.000000i 0.470463+0.020271i 0.470463-0.020271i 0.500000+0.000000i 0.470298+0.020258i 
0.136675 0.0000 0003 0.450451 -3.142560 0.500000+0.000000i 0.469361+0.026345i 0.469361-0.026345i 0.500000-0.000000i 0.469125+0.026325i 
0.138745 0.0000 0003 0.456995 -3.145514 0.500000+0.000000i 0.468180+0.032399i 0.468180-0.032399i 0.500000+0.000000i 0.467862+0.032370i 
