ERROR: total jump probabilities exceed 1, aborting. to fix: increase number of time steps
0 0 0 0 0 0 -0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 
0.01 0.0401819 0.00100392 0.00020091 5.0196e-06 0.0407196 -0.00061033 0.000203598 -3.05165e-06 -0.000203536 0.000407113 0.999796 0 0 0 0 0.00033 0.99967 0 0 0 
0.02 0.0800636 0.00399983 0.000802137 3.00383e-05 0.0811996 -0.00243266 0.000813194 -1.82666e-05 -0.000405341 0.0012182 0.999187 0 0 0 0 0.00122 0.99878 0 0 0 
0.03 0.119548 0.00896038 0.00180019 9.48394e-05 0.121405 -0.00545324 0.00182622 -5.76961e-05 -0.000604275 0.00242883 0.998175 0 0 0 0 0.00236 0.99764 0 0 0 
0.04 0.158539 0.0158536 0.00319063 0.000218909 0.161302 -0.00965738 0.00323976 -0.000133249 -0.000798743 0.00403326 0.996765 0 0 0 0 0.00438 0.99562 0 0 0 
0.05 0.196945 0.0246428 0.00496805 0.000421391 0.200857 -0.0150294 0.00505055 -0.000256683 -0.000986726 0.00602454 0.994962 0 0 0 1e-05 0.00635 0.99364 0 0 0 
0.06 0.234674 0.0352873 0.00712614 0.000721042 0.240036 -0.0215528 0.00725502 -0.000439595 -0.0011658 0.00839457 0.992771 0 0 0 3e-05 0.00854 0.99143 0 0 0 
0.07 0.271639 0.0477416 0.00965771 0.00113619 0.278808 -0.0292101 0.00984924 -0.000693409 -0.0013332 0.0111341 0.990199 0 0 0 6e-05 0.01134 0.9886 0 0 0 
0.08 0.307754 0.0619566 0.0125547 0.00168468 0.31714 -0.0379829 0.012829 -0.00102937 -0.00148583 0.0142329 0.987253 0 0 0 8e-05 0.01458 0.98534 0 0 0 
0.09 0.342937 0.0778791 0.0158081 0.00238386 0.355002 -0.0478522 0.0161897 -0.00145855 -0.0016203 0.0176796 0.983941 0 0 0 0.00012 0.01827 0.98161 0 0 0 
0.1 0.37711 0.095452 0.0194084 0.00325051 0.392364 -0.0587978 0.0199265 -0.0019918 -0.00173304 0.0214623 0.980271 0 0 0 0.00013 0.02201 0.97786 0 0 0 
0.11 0.410195 0.114615 0.0233449 0.00430085 0.429196 -0.070799 0.0240343 -0.00263978 -0.00182026 0.0255681 0.976252 0 0 0 0.00022 0.02616 0.97362 0 0 0 
0.12 0.442121 0.135303 0.0276065 0.00555044 0.46547 -0.0838343 0.0285077 -0.00341295 -0.00187806 0.0299832 0.971895 0 0 0 0.0003 0.03026 0.96944 0 0 0 
0.13 0.47282 0.157451 0.0321812 0.00701421 0.501158 -0.0978813 0.0333408 -0.00432153 -0.00190248 0.0346936 0.967209 0 0 0 0.0004 0.03496 0.96464 0 0 0 
0.14 0.502225 0.180987 0.0370564 0.0087064 0.536232 -0.112917 0.0385278 -0.00537552 -0.00188953 0.0396845 0.962205 0 0 0 0.00059 0.04006 0.95935 0 0 0 
0.15 0.530277 0.205839 0.0422189 0.0106405 0.570667 -0.128918 0.0440622 -0.0065847 -0.00183526 0.0449409 0.956894 0 0 0 0.00089 0.04532 0.95379 0 0 0 
0.16 0.556919 0.231931 0.0476549 0.0128294 0.604437 -0.14586 0.0499378 -0.00795858 -0.0017358 0.0504472 0.951289 0 0 0 0.00112 0.05046 0.94842 0 0 0 
0.17 0.582097 0.259185 0.05335 0.015285 0.637518 -0.163717 0.0561475 -0.00950647 -0.00158742 0.0561878 0.9454 0 0 0 0.00137 0.05683 0.9418 0 0 0 
0.18 0.605762 0.287522 0.0592893 0.0180185 0.669886 -0.182465 0.0626846 -0.0112374 -0.00138659 0.0621469 0.93924 0 0 0 0.00171 0.06316 0.93513 0 0 0 
0.19 0.627871 0.316859 0.0654574 0.0210404 0.701519 -0.202077 0.0695416 -0.0131601 -0.00113 0.0683087 0.932821 0 0 0 0.00206 0.06942 0.92852 0 0 0 
0.2 0.648384 0.347112 0.0718387 0.0243602 0.732395 -0.222526 0.0767112 -0.0152831 -0.000814604 0.0746573 0.926157 0 0 0 0.00252 0.07569 0.92179 0 0 0 
0.21 0.667264 0.378197 0.078417 0.0279868 0.762492 -0.243786 0.0841856 -0.0176147 -0.000437697 0.0811771 0.919261 0 0 0 0.00291 0.08242 0.91467 0 0 0 
0.22 0.68448 0.410028 0.0851757 0.0319279 0.791791 -0.265829 0.091957 -0.0201627 3.09665e-06 0.0878525 0.912144 0 0 0 0.00346 0.08949 0.90705 0 0 0 
0.23 0.700007 0.442516 0.0920981 0.0361906 0.820273 -0.288626 0.100017 -0.022935 0.000509766 0.0946685 0.904822 0 0 0 0.00412 0.09615 0.89973 0 0 0 
0.24 0.71382 0.475574 0.0991672 0.0407811 0.84792 -0.312149 0.108358 -0.0259389 0.00108389 0.10161 0.897306 0 0 0 0.00478 0.10315 0.89207 0 0 0 
0.25 0.725904 0.509112 0.106366 0.0457045 0.874715 -0.33637 0.116971 -0.0291815 0.00172663 0.108663 0.889611 0 0 0 0.00551 0.11051 0.88398 0 0 0 
0.26 0.736245 0.543043 0.113677 0.0509653 0.900641 -0.361259 0.125848 -0.0326696 0.00243868 0.115813 0.881749 0 0 0 0.00626 0.11727 0.87647 0 0 0 
0.27 0.744834 0.577277 0.121082 0.0565669 0.925683 -0.386786 0.13498 -0.0364099 0.00322029 0.123046 0.873733 0 0 0 0.00713 0.12487 0.868 0 0 0 
0.28 0.751667 0.611724 0.128565 0.0625119 0.949827 -0.412922 0.144357 -0.0404084 0.00407123 0.13035 0.865578 0 0 0 0.00813 0.13213 0.85974 0 0 0 
0.29 0.756744 0.646297 0.136107 0.068802 0.97306 -0.439636 0.153972 -0.0446712 0.00499081 0.137713 0.857296 0 0 0 0.00905 0.1396 0.85135 0 0 0 
0.3 0.760071 0.680906 0.143691 0.075438 0.99537 -0.466899 0.163814 -0.0492039 0.00597784 0.145122 0.8489 0 0 0 0.00998 0.14738 0.84264 0 0 0 
