#c=0.000100, alpha=0.900000, tmin=0.000000, tmax=5.000000, N_t=100000, epsilonIntegral=0.000001, epsilonBinning=0.000001, dim=2, initialEnsemble: { (100000, (0.707107+0.000000i, 0.500000+0.500000i)) }
795.774715
1.07005 0.0000 0454 0.004142 -0.000324 0.000572 0.5001004+0.0000000i 0.4706845-0.1671490i 0.4706845+0.1671490i 0.4998996-0.0000000i 0.5001676-0.0000000i 0.4707573-0.1671636i 0.4707573+0.1671636i 0.4998324+0.0000000i 
1.07505 0.0000 0454 0.004327 -0.000334 0.000593 0.5001001+0.0000000i 0.4757035-0.1522791i 0.4757035+0.1522791i 0.4998999-0.0000000i 0.5001670+0.0000000i 0.4757767-0.1522910i 0.4757767+0.1522910i 0.4998330+0.0000000i 
1.08005 0.0000 0456 0.004511 -0.000345 0.000616 0.5000992+0.0000000i 0.4802529-0.1372583i 0.4802529+0.1372583i 0.4999008-0.0000000i 0.5001664+0.0000000i 0.4803264-0.1372682i 0.4803264+0.1372682i 0.4998336+0.0000000i 
1.08505 0.0000 0459 0.004693 -0.000358 0.000640 0.5000980+0.0000000i 0.4843281-0.1221024i 0.4843281+0.1221024i 0.4999020+0.0000000i 0.5001657+0.0000000i 0.4844019-0.1221100i 0.4844019+0.1221100i 0.4998343+0.0000000i 
1.09005 0.0000 0460 0.004874 -0.000373 0.000666 0.5000973+0.0000000i 0.4879250-0.1068261i 0.4879250+0.1068261i 0.4999027+0.0000000i 0.5001650+0.0000000i 0.4879990-0.1068315i 0.4879990+0.1068315i 0.4998350+0.0000000i 
1.09505 0.0000 0460 0.005053 -0.000389 0.000693 0.5000970+0.0000000i 0.4910403-0.0914440i 0.4910403+0.0914440i 0.4999030+0.0000000i 0.5001643+0.0000000i 0.4911143-0.0914478i 0.4911143+0.0914478i 0.4998357+0.0000000i 
1.10005 0.0000 0464 0.005230 -0.000407 0.000721 0.5000954+0.0000000i 0.4936699-0.0759752i 0.4936699+0.0759752i 0.4999046+0.0000000i 0.5001636+0.0000000i 0.4937446-0.0759741i 0.4937446+0.0759741i 0.4998364+0.0000000i 
1.10505 0.0000 0466 0.005405 -0.000427 0.000750 0.5000943+0.0000000i 0.4958125-0.0604300i 0.4958125+0.0604300i 0.4999057-0.0000000i 0.5001628+0.0000000i 0.4958874-0.0604256i 0.4958874+0.0604256i 0.4998372+0.0000000i 
1.11005 0.0000 0468 0.005578 -0.000448 0.000780 0.5000933+0.0000000i 0.4974655-0.0448257i 0.4974655+0.0448257i 0.4999067+0.0000000i 0.5001620+0.0000000i 0.4975405-0.0448178i 0.4975405+0.0448178i 0.4998380+0.0000000i 
1.11505 0.0000 0468 0.005748 -0.000470 0.000812 0.5000928+0.0000000i 0.4986283-0.0291738i 0.4986283+0.0291738i 0.4999072+0.0000000i 0.5001611+0.0000000i 0.4987023-0.0291661i 0.4987023+0.0291661i 0.4998389+0.0000000i 
1.12005 0.0000 0469 0.005916 -0.000494 0.000845 0.5000920+0.0000000i 0.4992982-0.0134952i 0.4992982+0.0134952i 0.4999080+0.0000000i 0.5001602+0.0000000i 0.4993717-0.0134860i 0.4993717+0.0134860i 0.4998398+0.0000000i 
1.12505 0.0000 0469 0.006081 -0.000520 0.000878 0.5000915+0.0000000i 0.4994757+0.0021991i 0.4994757-0.0021991i 0.4999085-0.0000000i 0.5001592+0.0000000i 0.4995479+0.0022071i 0.4995479-0.0022071i 0.4998408+0.0000000i 
1.13005 0.0000 0471 0.006244 -0.000548 0.000913 0.5000899+0.0000000i 0.4991576+0.0178829i 0.4991576-0.0178829i 0.4999101+0.0000000i 0.5001582+0.0000000i 0.4992308+0.0178977i 0.4992308-0.0178977i 0.4998418+0.0000000i 
1.13505 0.0000 0473 0.006404 -0.000577 0.000949 0.5000886+0.0000000i 0.4983475+0.0335513i 0.4983475-0.0335513i 0.4999114+0.0000000i 0.5001570+0.0000000i 0.4984206+0.0335701i 0.4984206-0.0335701i 0.4998430+0.0000000i 
1.14005 0.0000 0475 0.006560 -0.000608 0.000986 0.5000872+0.0000000i 0.4970452+0.0491860i 0.4970452-0.0491860i 0.4999128+0.0000000i 0.5001558+0.0000000i 0.4971183+0.0492090i 0.4971183-0.0492090i 0.4998442+0.0000000i 
1.14505 0.0000 0476 0.006714 -0.000640 0.001024 0.5000861+0.0000000i 0.4952532+0.0647754i 0.4952532-0.0647754i 0.4999139+0.0000000i 0.5001546+0.0000000i 0.4953250+0.0647988i 0.4953250-0.0647988i 0.4998454+0.0000000i 
1.15005 0.0000 0478 0.006865 -0.000674 0.001063 0.5000846+0.0000000i 0.4929709+0.0802966i 0.4929709-0.0802966i 0.4999154+0.0000000i 0.5001532+0.0000000i 0.4930425+0.0803242i 0.4930425-0.0803242i 0.4998468+0.0000000i 
1.15505 0.0000 0479 0.007012 -0.000710 0.001102 0.5000834+0.0000000i 0.4902030+0.0957424i 0.4902030-0.0957424i 0.4999166+0.0000000i 0.5001518+0.0000000i 0.4902731+0.0957698i 0.4902731-0.0957698i 0.4998482+0.0000000i 
1.16005 0.0000 0479 0.007156 -0.000748 0.001143 0.5000826+0.0000000i 0.4869526+0.1110982i 0.4869526-0.1110982i 0.4999174-0.0000000i 0.5001502+0.0000000i 0.4870194+0.1111204i 0.4870194-0.1111204i 0.4998498+0.0000000i 
1.16505 0.0000 0481 0.007297 -0.000788 0.001184 0.5000802+0.0000000i 0.4832161+0.1263293i 0.4832161-0.1263293i 0.4999198+0.0000000i 0.5001486+0.0000000i 0.4832847+0.1263608i 0.4832847-0.1263608i 0.4998514+0.0000000i 
1.17005 0.0000 0485 0.007434 -0.000829 0.001226 0.5000772+0.0000000i 0.4790009+0.1414296i 0.4790009-0.1414296i 0.4999228+0.0000000i 0.5001469+0.0000000i 0.4790728+0.1414759i 0.4790728-0.1414759i 0.4998531+0.0000000i 
1.17505 0.0000 0486 0.007567 -0.000872 0.001269 0.5000757+0.0000000i 0.4743185+0.1564060i 0.4743185-0.1564060i 0.4999243+0.0000000i 0.5001450+0.0000000i 0.4743876+0.1564508i 0.4743876-0.1564508i 0.4998550+0.0000000i 
1.18005 0.0000 0488 0.007697 -0.000917 0.001312 0.5000736+0.0000000i 0.4691653+0.1712217i 0.4691653-0.1712217i 0.4999264+0.0000000i 0.5001430+0.0000000i 0.4692339+0.1712708i 0.4692339-0.1712708i 0.4998570+0.0000000i 
1.18505 0.0000 0490 0.007824 -0.000964 0.001356 0.5000713+0.0000000i 0.4635488+0.1858680i 0.4635488-0.1858680i 0.4999287-0.0000000i 0.5001410+0.0000000i 0.4636167+0.1859211i 0.4636167-0.1859211i 0.4998590+0.0000000i 
1.19005 0.0000 0492 0.007946 -0.001013 0.001401 0.5000702+0.0000000i 0.4574790+0.2003430i 0.4574790-0.2003430i 0.4999298+0.0000000i 0.5001388+0.0000000i 0.4575415+0.2003873i 0.4575415-0.2003873i 0.4998612+0.0000000i 
1.19505 0.0000 0493 0.008065 -0.001063 0.001446 0.5000683+0.0000000i 0.4509549+0.2146137i 0.4509549-0.2146137i 0.4999317+0.0000000i 0.5001364+0.0000000i 0.4510144+0.2146552i 0.4510144-0.2146552i 0.4998636+0.0000000i 
1.20005 0.0000 0497 0.008179 -0.001115 0.001492 0.5000636+0.0000000i 0.4439762+0.2286453i 0.4439762-0.2286453i 0.4999364-0.0000000i 0.5001340+0.0000000i 0.4440419+0.2287105i 0.4440419-0.2287105i 0.4998660+0.0000000i 
1.20505 0.0000 0500 0.008290 -0.001170 0.001538 0.5000601+0.0000000i 0.4365640+0.2424637i 0.4365640-0.2424637i 0.4999399+0.0000000i 0.5001314+0.0000000i 0.4366307+0.2425396i 0.4366307-0.2425396i 0.4998686+0.0000000i 
1.21005 0.0000 0505 0.008397 -0.001226 0.001584 0.5000580+0.0000000i 0.4287261+0.2560564i 0.4287261-0.2560564i 0.4999420+0.0000000i 0.5001286+0.0000000i 0.4287882+0.2561286i 0.4287882-0.2561286i 0.4998714+0.0000000i 
1.21505 0.0000 0507 0.008500 -0.001283 0.001631 0.5000550+0.0000000i 0.4204619+0.2693886i 0.4204619-0.2693886i 0.4999450+0.0000000i 0.5001257+0.0000000i 0.4205222+0.2694643i 0.4205222-0.2694643i 0.4998743+0.0000000i 
1.22005 0.0000 0509 0.008599 -0.001343 0.001678 0.5000534+0.0000000i 0.4117879+0.2824695i 0.4117879-0.2824695i 0.4999466+0.0000000i 0.5001227+0.0000000i 0.4118408+0.2825333i 0.4118408-0.2825333i 0.4998773+0.0000000i 
1.22505 0.0000 0512 0.008693 -0.001405 0.001726 0.5000492+0.0000000i 0.4026982+0.2952482i 0.4026982-0.2952482i 0.4999508+0.0000000i 0.5001195+0.0000000i 0.4027526+0.2953229i 0.4027526-0.2953229i 0.4998805+0.0000000i 
1.23005 0.0000 0515 0.008784 -0.001468 0.001773 0.5000448+0.0000000i 0.3932110+0.3077347i 0.3932110-0.3077347i 0.4999552+0.0000000i 0.5001162+0.0000000i 0.3932665+0.3078204i 0.3932665-0.3078204i 0.4998838+0.0000000i 
1.23505 0.0000 0516 0.008870 -0.001533 0.001821 0.5000440+0.0000000i 0.3833483+0.3199489i 0.3833483-0.3199489i 0.4999560-0.0000000i 0.5001127+0.0000000i 0.3833920+0.3200134i 0.3833920-0.3200134i 0.4998873+0.0000000i 
1.24005 0.0000 0523 0.008952 -0.001600 0.001869 0.5000373+0.0000000i 0.3730871+0.3317982i 0.3730871-0.3317982i 0.4999627-0.0000000i 0.5001090+0.0000000i 0.3731387+0.3318900i 0.3731387-0.3318900i 0.4998910+0.0000000i 
1.24505 0.0000 0526 0.009030 -0.001669 0.001917 0.5000323+0.0000000i 0.3624645+0.3433353i 0.3624645-0.3433353i 0.4999677+0.0000000i 0.5001052+0.0000000i 0.3625169+0.3434383i 0.3625169-0.3434383i 0.4998948+0.0000000i 
1.25005 0.0000 0528 0.009103 -0.001739 0.001965 0.5000281+0.0000000i 0.3514870+0.3545411i 0.3514870-0.3545411i 0.4999719+0.0000000i 0.5001012+0.0000000i 0.3515370+0.3546471i 0.3515370-0.3546471i 0.4998988+0.0000000i 
1.25505 0.0000 0529 0.009172 -0.001812 0.002013 0.5000249+0.0000000i 0.3401663+0.3654049i 0.3401663-0.3654049i 0.4999751+0.0000000i 0.5000970+0.0000000i 0.3402099+0.3655053i 0.3402099-0.3655053i 0.4999030+0.0000000i 
1.26005 0.0000 0531 0.009237 -0.001886 0.002061 0.5000181+0.0000000i 0.3285086+0.3759044i 0.3285086-0.3759044i 0.4999819-0.0000000i 0.5000927+0.0000000i 0.3285468+0.3760021i 0.3285468-0.3760021i 0.4999073+0.0000000i 
1.26505 0.0000 0531 0.009298 -0.001961 0.002109 0.5000206+0.0000000i 0.3165298+0.3860429i 0.3165298-0.3860429i 0.4999794+0.0000000i 0.5000882+0.0000000i 0.3165591+0.3861271i 0.3165591-0.3861271i 0.4999118+0.0000000i 
1.27005 0.0000 0535 0.009354 -0.002039 0.002157 0.5000158+0.0000000i 0.3042317+0.3957838i 0.3042317-0.3957838i 0.4999842-0.0000000i 0.5000836+0.0000000i 0.3042588+0.3958705i 0.3042588-0.3958705i 0.4999164+0.0000000i 
1.27505 0.0000 0538 0.009406 -0.002118 0.002204 0.5000094+0.0000000i 0.2916288+0.4051248i 0.2916288-0.4051248i 0.4999906+0.0000000i 0.5000787+0.0000000i 0.2916580+0.4052225i 0.2916580-0.4052225i 0.4999213+0.0000000i 
1.28005 0.0000 0544 0.009454 -0.002198 0.002251 0.5000014+0.0000000i 0.2787345+0.4140561i 0.2787345-0.4140561i 0.4999986-0.0000000i 0.5000737+0.0000000i 0.2787692+0.4141740i 0.2787692-0.4141740i 0.4999263+0.0000000i 
1.28505 0.0000 0546 0.009497 -0.002281 0.002298 0.4999988+0.0000000i 0.2655812+0.4226132i 0.2655812-0.4226132i 0.5000012-0.0000000i 0.5000686+0.0000000i 0.2656051+0.4227162i 0.2656051-0.4227162i 0.4999314+0.0000000i 
1.29005 0.0000 0546 0.009536 -0.002364 0.002345 0.4999961+0.0000000i 0.2521656+0.4307527i 0.2521656-0.4307527i 0.5000039+0.0000000i 0.5000633+0.0000000i 0.2521787+0.4308405i 0.2521787-0.4308405i 0.4999367+0.0000000i 
1.29505 0.0000 0548 0.009570 -0.002449 0.002391 0.4999903+0.0000000i 0.2384920+0.4384489i 0.2384920-0.4384489i 0.5000097-0.0000000i 0.5000578+0.0000000i 0.2385033+0.4385390i 0.2385033-0.4385390i 0.4999422+0.0000000i 
1.30005 0.0000 0552 0.009601 -0.002536 0.002437 0.4999843+0.0000000i 0.2245828+0.4457118i 0.2245828-0.4457118i 0.5000157+0.0000000i 0.5000521+0.0000000i 0.2245925+0.4458041i 0.2245925-0.4458041i 0.4999479+0.0000000i 
1.30505 0.0000 0552 0.009626 -0.002624 0.002482 0.4999814+0.0000000i 0.2104607+0.4525514i 0.2104607-0.4525514i 0.5000186+0.0000000i 0.5000463+0.0000000i 0.2104599+0.4526286i 0.2104599-0.4526286i 0.4999537+0.0000000i 
1.31005 0.0000 0557 0.009648 -0.002713 0.002527 0.4999733+0.0000000i 0.1961174+0.4589178i 0.1961174-0.4589178i 0.5000267+0.0000000i 0.5000404+0.0000000i 0.1961197+0.4590058i 0.1961197-0.4590058i 0.4999596+0.0000000i 
1.31505 0.0000 0559 0.009666 -0.002804 0.002571 0.4999667+0.0000000i 0.1815849+0.4648391i 0.1815849-0.4648391i 0.5000333+0.0000000i 0.5000343+0.0000000i 0.1815858+0.4649295i 0.1815858-0.4649295i 0.4999657+0.0000000i 
1.32005 0.0000 0563 0.009679 -0.002896 0.002614 0.4999636+0.0000000i 0.1668823+0.4703177i 0.1668823-0.4703177i 0.5000364+0.0000000i 0.5000281+0.0000000i 0.1668728+0.4703936i 0.1668728-0.4703936i 0.4999719+0.0000000i 
1.32505 0.0000 0568 0.009688 -0.002989 0.002657 0.4999510+0.0000000i 0.1519927+0.4752893i 0.1519927-0.4752893i 0.5000490+0.0000000i 0.5000217+0.0000000i 0.1519952+0.4753930i 0.1519952-0.4753930i 0.4999783+0.0000000i 
1.33005 0.0000 0571 0.009692 -0.003083 0.002700 0.4999418+0.0000000i 0.1369626+0.4798078i 0.1369626-0.4798078i 0.5000582+0.0000000i 0.5000152+0.0000000i 0.1369676+0.4799225i 0.1369676-0.4799225i 0.4999848+0.0000000i 
1.33505 0.0000 0578 0.009693 -0.003178 0.002741 0.4999284+0.0000000i 0.1217890+0.4838355i 0.1217890-0.4838355i 0.5000716+0.0000000i 0.5000085+0.0000000i 0.1218050+0.4839779i 0.1218050-0.4839779i 0.4999915+0.0000000i 
1.34005 0.0000 0581 0.009689 -0.003275 0.002782 0.4999188+0.0000000i 0.1065048+0.4874010i 0.1065048-0.4874010i 0.5000812+0.0000000i 0.5000018+0.0000000i 0.1065224+0.4875550i 0.1065224-0.4875550i 0.4999982+0.0000000i 
1.34505 0.0000 0583 0.009682 -0.003372 0.002822 0.4999110+0.0000000i 0.0911203+0.4904927i 0.0911203-0.4904927i 0.5000890+0.0000000i 0.4999950+0.0000000i 0.0911349+0.4906503i 0.0911349-0.4906503i 0.5000050+0.0000000i 
1.35005 0.0000 0585 0.009670 -0.003470 0.002861 0.4999031+0.0000000i 0.0756459+0.4930996i 0.0756459-0.4930996i 0.5000969+0.0000000i 0.4999880+0.0000000i 0.0756576+0.4932608i 0.0756576-0.4932608i 0.5000120+0.0000000i 
1.35505 0.0000 0588 0.009654 -0.003569 0.002899 0.4998927+0.0000000i 0.0600932+0.4952113i 0.0600932-0.4952113i 0.5001073+0.0000000i 0.4999810+0.0000000i 0.0601059+0.4953839i 0.0601059-0.4953839i 0.5000190+0.0000000i 
1.36005 0.0000 0593 0.009635 -0.003668 0.002936 0.4998774+0.0000000i 0.0444737+0.4968185i 0.0444737-0.4968185i 0.5001226+0.0000000i 0.4999739+0.0000000i 0.0444952+0.4970176i 0.0444952-0.4970176i 0.5000261+0.0000000i 
1.36505 0.0000 0598 0.009611 -0.003768 0.002972 0.4998617+0.0000000i 0.0288117+0.4979343i 0.0288117-0.4979343i 0.5001383+0.0000000i 0.4999667+0.0000000i 0.0288409+0.4981600i 0.0288409-0.4981600i 0.5000333+0.0000000i 
1.37005 0.0000 0601 0.009584 -0.003869 0.003007 0.4998506+0.0000000i 0.0131303+0.4985728i 0.0131303-0.4985728i 0.5001494+0.0000000i 0.4999595+0.0000000i 0.0131586+0.4988103i 0.0131586-0.4988103i 0.5000405+0.0000000i 
1.37505 0.0000 0604 0.009553 -0.003971 0.003041 0.4998392+0.0000000i -0.0025633+0.4987188i -0.0025633-0.4987188i 0.5001608-0.0000000i 0.4999522+0.0000000i -0.0025364+0.4989677i -0.0025364-0.4989677i 0.5000478+0.0000000i 
1.38005 0.0000 0610 0.009518 -0.004072 0.003075 0.4998250+0.0000000i -0.0182571+0.4983644i -0.0182571-0.4983644i 0.5001750+0.0000000i 0.4999449+0.0000000i -0.0182284+0.4986320i -0.0182284-0.4986320i 0.5000551+0.0000000i 
1.38505 0.0000 0615 0.009479 -0.004174 0.003107 0.4998186+0.0000000i -0.0339211+0.4975375i -0.0339211-0.4975375i 0.5001814+0.0000000i 0.4999376+0.0000000i -0.0339020+0.4978036i -0.0339020-0.4978036i 0.5000624+0.0000000i 
1.39005 0.0000 0617 0.009437 -0.004277 0.003137 0.4998093+0.0000000i -0.0495548+0.4962126i -0.0495548-0.4962126i 0.5001907+0.0000000i 0.4999303+0.0000000i -0.0495416+0.4964833i -0.0495416-0.4964833i 0.5000697+0.0000000i 
1.39505 0.0000 0621 0.009391 -0.004380 0.003167 0.4998057+0.0000000i -0.0651323+0.4944090i -0.0651323-0.4944090i 0.5001943+0.0000000i 0.4999230+0.0000000i -0.0651319+0.4946723i -0.0651319-0.4946723i 0.5000770+0.0000000i 
1.40005 0.0000 0626 0.009342 -0.004482 0.003196 0.4997991+0.0000000i -0.0806487+0.4921106i -0.0806487-0.4921106i 0.5002009+0.0000000i 0.4999157+0.0000000i -0.0806573+0.4923726i -0.0806573-0.4923726i 0.5000843+0.0000000i 
1.40505 0.0000 0632 0.009289 -0.004585 0.003223 0.4997955+0.0000000i -0.0960821+0.4893316i -0.0960821-0.4893316i 0.5002045+0.0000000i 0.4999085+0.0000000i -0.0961025+0.4895863i -0.0961025-0.4895863i 0.5000915+0.0000000i 
1.41005 0.0000 0634 0.009233 -0.004688 0.003249 0.4997919+0.0000000i -0.1114207+0.4860685i -0.1114207-0.4860685i 0.5002081-0.0000000i 0.4999014+0.0000000i -0.1114523+0.4863161i -0.1114523-0.4863161i 0.5000986+0.0000000i 
1.41505 0.0000 0639 0.009174 -0.004790 0.003274 0.4997978+0.0000000i -0.1266415+0.4823408i -0.1266415-0.4823408i 0.5002022+0.0000000i 0.4998943+0.0000000i -0.1266914+0.4825654i -0.1266914-0.4825654i 0.5001057+0.0000000i 
1.42005 0.0000 0640 0.009111 -0.004893 0.003297 0.4997910+0.0000000i -0.1417477+0.4781153i -0.1417477-0.4781153i 0.5002090+0.0000000i 0.4998873+0.0000000i -0.1418049+0.4783378i -0.1418049-0.4783378i 0.5001127+0.0000000i 
1.42505 0.0000 0640 0.009046 -0.004995 0.003319 0.4997876+0.0000000i -0.1567114+0.4734218i -0.1567114-0.4734218i 0.5002124+0.0000000i 0.4998804+0.0000000i -0.1567778+0.4736374i -0.1567778-0.4736374i 0.5001196+0.0000000i 
1.43005 0.0000 0648 0.008977 -0.005096 0.003340 0.4997842+0.0000000i -0.1715203+0.4682599i -0.1715203-0.4682599i 0.5002158-0.0000000i 0.4998737+0.0000000i -0.1715953+0.4684689i -0.1715953-0.4684689i 0.5001263+0.0000000i 
1.43505 0.0000 0651 0.008905 -0.005197 0.003360 0.4997774+0.0000000i -0.1861612+0.4626308i -0.1861612-0.4626308i 0.5002226+0.0000000i 0.4998671+0.0000000i -0.1862427+0.4628374i -0.1862427-0.4628374i 0.5001329+0.0000000i 
1.44005 0.0000 0651 0.008831 -0.005298 0.003378 0.4997742+0.0000000i -0.2006163+0.4565483i -0.2006163-0.4565483i 0.5002258-0.0000000i 0.4998607+0.0000000i -0.2007056+0.4567485i -0.2007056-0.4567485i 0.5001393+0.0000000i 
1.44505 0.0000 0654 0.008753 -0.005398 0.003395 0.4997602+0.0000000i -0.2148768+0.4500024i -0.2148768-0.4500024i 0.5002398+0.0000000i 0.4998544+0.0000000i -0.2149697+0.4502082i -0.2149697-0.4502082i 0.5001456+0.0000000i 
1.45005 0.0000 0657 0.008673 -0.005497 0.003410 0.4997535+0.0000000i -0.2289218+0.4430193i -0.2289218-0.4430193i 0.5002465+0.0000000i 0.4998484+0.0000000i -0.2290209+0.4432228i -0.2290209-0.4432228i 0.5001516+0.0000000i 
1.45505 0.0000 0659 0.008591 -0.005595 0.003424 0.4997544+0.0000000i -0.2427386+0.4356053i -0.2427386-0.4356053i 0.5002456+0.0000000i 0.4998426+0.0000000i -0.2428453+0.4357994i -0.2428453-0.4357994i 0.5001574+0.0000000i 
1.46005 0.0000 0659 0.008505 -0.005692 0.003436 0.4997516+0.0000000i -0.2563162+0.4277569i -0.2563162-0.4277569i 0.5002484-0.0000000i 0.4998370+0.0000000i -0.2564293+0.4279451i -0.2564293-0.4279451i 0.5001630+0.0000000i 
1.46505 0.0000 0661 0.008418 -0.005789 0.003447 0.4997568+0.0000000i -0.2696399+0.4194918i -0.2696399-0.4194918i 0.5002432+0.0000000i 0.4998317+0.0000000i -0.2697594+0.4196679i -0.2697594-0.4196679i 0.5001683+0.0000000i 
1.47005 0.0000 0665 0.008328 -0.005884 0.003457 0.4997543+0.0000000i -0.2826976+0.4108053i -0.2826976-0.4108053i 0.5002457+0.0000000i 0.4998266+0.0000000i -0.2828226+0.4109758i -0.2828226-0.4109758i 0.5001734+0.0000000i 
1.47505 0.0000 0669 0.008235 -0.005978 0.003465 0.4997438+0.0000000i -0.2954753+0.4017070i -0.2954753-0.4017070i 0.5002562+0.0000000i 0.4998218+0.0000000i -0.2956058+0.4018775i -0.2956058-0.4018775i 0.5001782+0.0000000i 
1.48005 0.0000 0672 0.008141 -0.006070 0.003472 0.4997375+0.0000000i -0.3079605+0.3922142i -0.3079605-0.3922142i 0.5002625+0.0000000i 0.4998174+0.0000000i -0.3080965+0.3923819i -0.3080965-0.3923819i 0.5001826+0.0000000i 
1.48505 0.0000 0674 0.008044 -0.006162 0.003477 0.4997355+0.0000000i -0.3201417+0.3823362i -0.3201417-0.3823362i 0.5002645+0.0000000i 0.4998132+0.0000000i -0.3202824+0.3824984i -0.3202824-0.3824984i 0.5001868+0.0000000i 
1.49005 0.0000 0676 0.007946 -0.006251 0.003480 0.4997251+0.0000000i -0.3320039+0.3720755i -0.3320039-0.3720755i 0.5002749-0.0000000i 0.4998094+0.0000000i -0.3321513+0.3722367i -0.3321513-0.3722367i 0.5001906+0.0000000i 
1.49505 0.0000 0681 0.007845 -0.006339 0.003483 0.4997277+0.0000000i -0.3435412+0.3614536i -0.3435412-0.3614536i 0.5002723+0.0000000i 0.4998060+0.0000000i -0.3436917+0.3616071i -0.3436917-0.3616071i 0.5001940+0.0000000i 
1.50005 0.0000 0685 0.007743 -0.006426 0.003483 0.4997261+0.0000000i -0.3547375+0.3504720i -0.3547375-0.3504720i 0.5002739+0.0000000i 0.4998029+0.0000000i -0.3548921+0.3506200i -0.3548921-0.3506200i 0.5001971+0.0000000i 
1.50505 0.0000 0690 0.007639 -0.006510 0.003483 0.4997381+0.0000000i -0.3655886+0.3391495i -0.3655886-0.3391495i 0.5002619+0.0000000i 0.4998002+0.0000000i -0.3657415+0.3392862i -0.3657415-0.3392862i 0.5001998+0.0000000i 
1.51005 0.0000 0690 0.007533 -0.006593 0.003480 0.4997369+0.0000000i -0.3760725+0.3274856i -0.3760725-0.3274856i 0.5002631+0.0000000i 0.4997978+0.0000000i -0.3762291+0.3276170i -0.3762291-0.3276170i 0.5002022+0.0000000i 
1.51505 0.0000 0693 0.007426 -0.006674 0.003477 0.4997404+0.0000000i -0.3861868+0.3154995i -0.3861868-0.3154995i 0.5002596+0.0000000i 0.4997959+0.0000000i -0.3863446+0.3156239i -0.3863446-0.3156239i 0.5002041+0.0000000i 
1.52005 0.0000 0697 0.007318 -0.006753 0.003472 0.4997397+0.0000000i -0.3959170+0.3031997i -0.3959170-0.3031997i 0.5002603+0.0000000i 0.4997944+0.0000000i -0.3960781+0.3033188i -0.3960781-0.3033188i 0.5002056+0.0000000i 
1.52505 0.0000 0700 0.007208 -0.006830 0.003465 0.4997438+0.0000000i -0.4052583+0.2906014i -0.4052583-0.2906014i 0.5002562+0.0000000i 0.4997933+0.0000000i -0.4054198+0.2907137i -0.4054198-0.2907137i 0.5002067+0.0000000i 
1.53005 0.0000 0705 0.007097 -0.006904 0.003457 0.4997294+0.0000000i -0.4141866+0.2777100i -0.4141866-0.2777100i 0.5002706+0.0000000i 0.4997926+0.0000000i -0.4143607+0.2778213i -0.4143607-0.2778213i 0.5002074+0.0000000i 
1.53505 0.0000 0707 0.006984 -0.006976 0.003447 0.4997198+0.0000000i -0.4227078+0.2645458i -0.4227078-0.2645458i 0.5002802+0.0000000i 0.4997924+0.0000000i -0.4228919+0.2646542i -0.4228919-0.2646542i 0.5002076+0.0000000i 
1.54005 0.0000 0711 0.006871 -0.007046 0.003436 0.4997199+0.0000000i -0.4308175+0.2511229i -0.4308175-0.2511229i 0.5002801+0.0000000i 0.4997926+0.0000000i -0.4310049+0.2512254i -0.4310049-0.2512254i 0.5002074+0.0000000i 
1.54505 0.0000 0716 0.006757 -0.007113 0.003424 0.4997250+0.0000000i -0.4385047+0.2374528i -0.4385047-0.2374528i 0.5002750+0.0000000i 0.4997932+0.0000000i -0.4386918+0.2375483i -0.4386918-0.2375483i 0.5002068+0.0000000i 
1.55005 0.0000 0725 0.006642 -0.007178 0.003410 0.4997401+0.0000000i -0.4457664+0.2235501i -0.4457664-0.2235501i 0.5002599+0.0000000i 0.4997943+0.0000000i -0.4459450+0.2236363i -0.4459450-0.2236363i 0.5002057+0.0000000i 
1.55505 0.0000 0726 0.006526 -0.007240 0.003395 0.4997360+0.0000000i -0.4525713+0.2094214i -0.4525713-0.2094214i 0.5002640+0.0000000i 0.4997958+0.0000000i -0.4527573+0.2095033i -0.4527573-0.2095033i 0.5002042+0.0000000i 
1.56005 0.0000 0728 0.006410 -0.007300 0.003378 0.4997272+0.0000000i -0.4589242+0.1950848i -0.4589242-0.1950848i 0.5002728+0.0000000i 0.4997978+0.0000000i -0.4591220+0.1951631i -0.4591220-0.1951631i 0.5002022+0.0000000i 
1.56505 0.0000 0732 0.006293 -0.007356 0.003360 0.4997431+0.0000000i -0.4648447+0.1805607i -0.4648447-0.1805607i 0.5002569+0.0000000i 0.4998002+0.0000000i -0.4650328+0.1806300i -0.4650328-0.1806300i 0.5001998+0.0000000i 
1.57005 0.0000 0735 0.006176 -0.007410 0.003341 0.4997396+0.0000000i -0.4702879+0.1658538i -0.4702879-0.1658538i 0.5002604-0.0000000i 0.4998030+0.0000000i -0.4704839+0.1659183i -0.4704839-0.1659183i 0.5001970+0.0000000i 
1.57505 0.0000 0736 0.006058 -0.007461 0.003320 0.4997462+0.0000000i -0.4752751+0.1509849i -0.4752751-0.1509849i 0.5002538+0.0000000i 0.4998063+0.0000000i -0.4754699+0.1510427i -0.4754699-0.1510427i 0.5001937+0.0000000i 
1.58005 0.0000 0741 0.005940 -0.007509 0.003298 0.4997530+0.0000000i -0.4797923+0.1359667i -0.4797923-0.1359667i 0.5002470+0.0000000i 0.4998100+0.0000000i -0.4799859+0.1360177i -0.4799859-0.1360177i 0.5001900+0.0000000i 
