#c=0.000100, alpha=0.900000, tmin=0.000000, tmax=5.000000, N_t=100000, epsilonIntegral=0.000001, epsilonBinning=0.000001, dim=2, initialEnsemble: { (100000, (0.707107+0.000000i, 0.500000+0.500000i)) }
795.774715
0.10505 0.0000 0024 0.005507 -0.000140 0.000434 0.5000015+0.0000000i 0.4960587-0.0624336i 0.4960587+0.0624336i 0.4999985+0.0000000i 0.5000012-0.0000000i 0.4960688-0.0624591i 0.4960688+0.0624591i 0.4999988-0.0000000i 
0.11005 0.0000 0025 0.005718 -0.000160 0.000472 0.5000015+0.0000000i 0.4977751-0.0468196i 0.4977751+0.0468196i 0.4999985-0.0000000i 0.5000012-0.0000000i 0.4977860-0.0468448i 0.4977860+0.0468448i 0.4999988-0.0000000i 
0.11505 0.0000 0028 0.005925 -0.000181 0.000512 0.5000014+0.0000000i 0.4989999-0.0311612i 0.4989999+0.0311612i 0.4999986+0.0000000i 0.5000012-0.0000000i 0.4990118-0.0311847i 0.4990118+0.0311847i 0.4999988-0.0000000i 
0.12005 0.0000 0030 0.006128 -0.000204 0.000553 0.5000013+0.0000000i 0.4997321-0.0154717i 0.4997321+0.0154717i 0.4999987+0.0000000i 0.5000011-0.0000000i 0.4997449-0.0154941i 0.4997449+0.0154941i 0.4999989-0.0000000i 
0.12505 0.0000 0032 0.006327 -0.000229 0.000595 0.5000011+0.0000000i 0.4999709+0.0002324i 0.4999709-0.0002324i 0.4999989-0.0000000i 0.5000009-0.0000000i 0.4999845+0.0002113i 0.4999845-0.0002113i 0.4999991-0.0000000i 
0.13005 0.0000 0034 0.006522 -0.000256 0.000638 0.5000009+0.0000000i 0.4997160+0.0159356i 0.4997160-0.0159356i 0.4999991+0.0000000i 0.5000007-0.0000000i 0.4997305+0.0159160i 0.4997305-0.0159160i 0.4999993+0.0000000i 
0.13505 0.0000 0034 0.006712 -0.000285 0.000683 0.5000008+0.0000000i 0.4989687+0.0316275i 0.4989687-0.0316275i 0.4999992+0.0000000i 0.5000005-0.0000000i 0.4989831+0.0316046i 0.4989831-0.0316046i 0.4999995+0.0000000i 
0.14005 0.0000 0036 0.006899 -0.000315 0.000728 0.5000006+0.0000000i 0.4977287+0.0472884i 0.4977287-0.0472884i 0.4999994+0.0000000i 0.5000001-0.0000000i 0.4977430+0.0472615i 0.4977430-0.0472615i 0.4999999+0.0000000i 
0.14505 0.0000 0037 0.007080 -0.000348 0.000775 0.5000003+0.0000000i 0.4959966+0.0628997i 0.4959966-0.0628997i 0.4999997+0.0000000i 0.4999997-0.0000000i 0.4960113+0.0628712i 0.4960113-0.0628712i 0.5000003+0.0000000i 
0.15005 0.0000 0037 0.007258 -0.000382 0.000822 0.5000001+0.0000000i 0.4937755+0.0784523i 0.4937755-0.0784523i 0.4999999-0.0000000i 0.4999993-0.0000000i 0.4937899+0.0784183i 0.4937899-0.0784183i 0.5000007+0.0000000i 
0.15505 0.0000 0038 0.007430 -0.000419 0.000871 0.4999996+0.0000000i 0.4910661+0.0939239i 0.4910661-0.0939239i 0.5000004-0.0000000i 0.4999987-0.0000000i 0.4910809+0.0938875i 0.4910809-0.0938875i 0.5000013+0.0000000i 
0.16005 0.0000 0039 0.007598 -0.000457 0.000920 0.4999991+0.0000000i 0.4878716+0.1093024i 0.4878716-0.1093024i 0.5000009+0.0000000i 0.4999980-0.0000000i 0.4878869+0.1092634i 0.4878869-0.1092634i 0.5000020+0.0000000i 
0.16505 0.0000 0040 0.007762 -0.000498 0.000971 0.4999985+0.0000000i 0.4841953+0.1245729i 0.4841953-0.1245729i 0.5000015+0.0000000i 0.4999973-0.0000000i 0.4842110+0.1245309i 0.4842110-0.1245309i 0.5000027+0.0000000i 
0.17005 0.0000 0042 0.007921 -0.000540 0.001022 0.4999976+0.0000000i 0.4800396+0.1397154i 0.4800396-0.1397154i 0.5000024+0.0000000i 0.4999964-0.0000000i 0.4800570+0.1396749i 0.4800570-0.1396749i 0.5000036+0.0000000i 
0.17505 0.0000 0046 0.008075 -0.000585 0.001073 0.4999966+0.0000000i 0.4754101+0.1547197i 0.4754101-0.1547197i 0.5000034+0.0000000i 0.4999954-0.0000000i 0.4754288+0.1546804i 0.4754288-0.1546804i 0.5000046+0.0000000i 
0.18005 0.0000 0047 0.008225 -0.000632 0.001126 0.4999963+0.0000000i 0.4703152+0.1695870i 0.4703152-0.1695870i 0.5000037+0.0000000i 0.4999943-0.0000000i 0.4703311+0.1695326i 0.4703311-0.1695326i 0.5000057+0.0000000i 
0.18505 0.0000 0050 0.008370 -0.000681 0.001179 0.4999947+0.0000000i 0.4647494+0.1842643i 0.4647494-0.1842643i 0.5000053+0.0000000i 0.4999931+0.0000000i 0.4647689+0.1842169i 0.4647689-0.1842169i 0.5000069+0.0000000i 
0.19005 0.0000 0051 0.008510 -0.000732 0.001233 0.4999937+0.0000000i 0.4587281+0.1987709i 0.4587281-0.1987709i 0.5000063-0.0000000i 0.4999917+0.0000000i 0.4587477+0.1987187i 0.4587477-0.1987187i 0.5000083+0.0000000i 
0.19505 0.0000 0052 0.008645 -0.000785 0.001287 0.4999925+0.0000000i 0.4522537+0.2130813i 0.4522537-0.2130813i 0.5000075+0.0000000i 0.4999902+0.0000000i 0.4522733+0.2130236i 0.4522733-0.2130236i 0.5000098-0.0000000i 
0.20005 0.0000 0054 0.008775 -0.000841 0.001341 0.4999909+0.0000000i 0.4453306+0.2271744i 0.4453306-0.2271744i 0.5000091+0.0000000i 0.4999886+0.0000000i 0.4453522+0.2271177i 0.4453522-0.2271177i 0.5000114-0.0000000i 
0.20505 0.0000 0055 0.008900 -0.000898 0.001396 0.4999895+0.0000000i 0.4379698+0.2410497i 0.4379698-0.2410497i 0.5000105+0.0000000i 0.4999868+0.0000000i 0.4379912+0.2409870i 0.4379912-0.2409870i 0.5000132+0.0000000i 
0.21005 0.0000 0058 0.009021 -0.000958 0.001452 0.4999871+0.0000000i 0.4301719+0.2546727i 0.4301719-0.2546727i 0.5000129+0.0000000i 0.4999848+0.0000000i 0.4301976+0.2546177i 0.4301976-0.2546177i 0.5000152-0.0000000i 
0.21505 0.0000 0061 0.009136 -0.001020 0.001508 0.4999845+0.0000000i 0.4219497+0.2680437i 0.4219497-0.2680437i 0.5000155+0.0000000i 0.4999827+0.0000000i 0.4219790+0.2679965i 0.4219790-0.2679965i 0.5000173-0.0000000i 
0.22005 0.0000 0065 0.009247 -0.001084 0.001564 0.4999810+0.0000000i 0.4133078+0.2811415i 0.4133078-0.2811415i 0.5000190+0.0000000i 0.4999804+0.0000000i 0.4133436+0.2811101i 0.4133436-0.2811101i 0.5000196-0.0000000i 
0.22505 0.0000 0067 0.009352 -0.001151 0.001620 0.4999786+0.0000000i 0.4042633+0.2939762i 0.4042633-0.2939762i 0.5000214+0.0000000i 0.4999780-0.0000000i 0.4043000+0.2939456i 0.4043000-0.2939456i 0.5000220+0.0000000i 
0.23005 0.0000 0070 0.009453 -0.001219 0.001676 0.4999753+0.0000000i 0.3948166+0.3065123i 0.3948166-0.3065123i 0.5000247+0.0000000i 0.4999753+0.0000000i 0.3948569+0.3064903i 0.3948569-0.3064903i 0.5000247+0.0000000i 
0.23505 0.0000 0072 0.009548 -0.001290 0.001733 0.4999725+0.0000000i 0.3849830+0.3187530i 0.3849830-0.3187530i 0.5000275-0.0000000i 0.4999725+0.0000000i 0.3850238+0.3187319i 0.3850238-0.3187319i 0.5000275+0.0000000i 
0.24005 0.0000 0076 0.009639 -0.001362 0.001789 0.4999682+0.0000000i 0.3747637+0.3306623i 0.3747637-0.3306623i 0.5000318+0.0000000i 0.4999695+0.0000000i 0.3748104+0.3306582i 0.3748104-0.3306582i 0.5000305+0.0000000i 
0.24505 0.0000 0083 0.009724 -0.001437 0.001846 0.4999642+0.0000000i 0.3641767+0.3422523i 0.3641767-0.3422523i 0.5000358+0.0000000i 0.4999663+0.0000000i 0.3642268+0.3422575i 0.3642268-0.3422575i 0.5000337+0.0000000i 
0.25005 0.0000 0090 0.009804 -0.001514 0.001902 0.4999601+0.0000000i 0.3532311+0.3535038i 0.3532311-0.3535038i 0.5000399+0.0000000i 0.4999629+0.0000000i 0.3532834+0.3535184i 0.3532834-0.3535184i 0.5000371+0.0000000i 
0.25505 0.0000 0091 0.009879 -0.001592 0.001959 0.4999574+0.0000000i 0.3419426+0.3644227i 0.3419426-0.3644227i 0.5000426+0.0000000i 0.4999593+0.0000000i 0.3419910+0.3644297i 0.3419910-0.3644297i 0.5000407-0.0000000i 
0.26005 0.0000 0095 0.009949 -0.001673 0.002015 0.4999519+0.0000000i 0.3303062+0.3749554i 0.3303062-0.3749554i 0.5000481+0.0000000i 0.4999555+0.0000000i 0.3303609+0.3749807i 0.3303609-0.3749807i 0.5000445-0.0000000i 
0.26505 0.0000 0097 0.010015 -0.001756 0.002071 0.4999479+0.0000000i 0.3183509+0.3851346i 0.3183509-0.3851346i 0.5000521+0.0000000i 0.4999515+0.0000000i 0.3184044+0.3851610i 0.3184044-0.3851610i 0.5000485-0.0000000i 
0.27005 0.0000 0099 0.010075 -0.001841 0.002127 0.4999458+0.0000000i 0.3060881+0.3949506i 0.3060881-0.3949506i 0.5000542+0.0000000i 0.4999473+0.0000000i 0.3061334+0.3949605i 0.3061334-0.3949605i 0.5000527+0.0000000i 
0.27505 0.0000 0100 0.010130 -0.001927 0.002182 0.4999426+0.0000000i 0.2935192+0.4043676i 0.2935192-0.4043676i 0.5000574+0.0000000i 0.4999429+0.0000000i 0.2935601+0.4043696i 0.2935601-0.4043696i 0.5000571+0.0000000i 
0.28005 0.0000 0103 0.010180 -0.002016 0.002237 0.4999369+0.0000000i 0.2806523+0.4133672i 0.2806523-0.4133672i 0.5000631+0.0000000i 0.4999383+0.0000000i 0.2806969+0.4133790i 0.2806969-0.4133790i 0.5000617+0.0000000i 
0.28505 0.0000 0109 0.010225 -0.002106 0.002292 0.4999274+0.0000000i 0.2674969+0.4219312i 0.2674969-0.4219312i 0.5000726+0.0000000i 0.4999335+0.0000000i 0.2675565+0.4219798i 0.2675565-0.4219798i 0.5000665+0.0000000i 
0.29005 0.0000 0111 0.010264 -0.002198 0.002346 0.4999249+0.0000000i 0.2541018+0.4301312i 0.2541018-0.4301312i 0.5000751+0.0000000i 0.4999285+0.0000000i 0.2541518+0.4301635i 0.2541518-0.4301635i 0.5000715+0.0000000i 
0.29505 0.0000 0116 0.010300 -0.002292 0.002399 0.4999183+0.0000000i 0.2404431+0.4378794i 0.2404431-0.4378794i 0.5000817+0.0000000i 0.4999233+0.0000000i 0.2404963+0.4379221i 0.2404963-0.4379221i 0.5000767+0.0000000i 
0.30005 0.0000 0120 0.010330 -0.002387 0.002452 0.4999103+0.0000000i 0.2265436+0.4451855i 0.2265436-0.4451855i 0.5000897+0.0000000i 0.4999179+0.0000000i 0.2266033+0.4452479i 0.2266033-0.4452479i 0.5000821+0.0000000i 
0.30505 0.0000 0121 0.010355 -0.002484 0.002505 0.4999060+0.0000000i 0.2124329+0.4520781i 0.2124329-0.4520781i 0.5000940+0.0000000i 0.4999122+0.0000000i 0.2124865+0.4521337i 0.2124865-0.4521337i 0.5000878-0.0000000i 
0.31005 0.0000 0122 0.010375 -0.002583 0.002556 0.4999017+0.0000000i 0.1981123+0.4585238i 0.1981123-0.4585238i 0.5000983+0.0000000i 0.4999064+0.0000000i 0.1981601+0.4585727i 0.1981601-0.4585727i 0.5000936+0.0000000i 
0.31505 0.0000 0126 0.010391 -0.002683 0.002607 0.4998955+0.0000000i 0.1835913+0.4645078i 0.1835913-0.4645078i 0.5001045+0.0000000i 0.4999005+0.0000000i 0.1836381+0.4645585i 0.1836381-0.4645585i 0.5000995-0.0000000i 
0.32005 0.0000 0129 0.010401 -0.002784 0.002658 0.4998973+0.0000000i 0.1689108+0.4700757i 0.1689108-0.4700757i 0.5001027-0.0000000i 0.4998943+0.0000000i 0.1689349+0.4700853i 0.1689349-0.4700853i 0.5001057-0.0000000i 
0.32505 0.0000 0131 0.010407 -0.002887 0.002707 0.4998908+0.0000000i 0.1540406+0.4751364i 0.1540406-0.4751364i 0.5001092+0.0000000i 0.4998879+0.0000000i 0.1540650+0.4751476i 0.1540650-0.4751476i 0.5001121-0.0000000i 
0.33005 0.0000 0131 0.010409 -0.002991 0.002756 0.4998875+0.0000000i 0.1390271+0.4797443i 0.1390271-0.4797443i 0.5001125+0.0000000i 0.4998814+0.0000000i 0.1390432+0.4797403i 0.1390432-0.4797403i 0.5001186+0.0000000i 
0.33505 0.0000 0133 0.010405 -0.003096 0.002803 0.4998842+0.0000000i 0.1238759+0.4838779i 0.1238759-0.4838779i 0.5001158+0.0000000i 0.4998748+0.0000000i 0.1238843+0.4838591i 0.1238843-0.4838591i 0.5001252-0.0000000i 
0.34005 0.0000 0135 0.010397 -0.003203 0.002850 0.4998770+0.0000000i 0.1085936+0.4875166i 0.1085936-0.4875166i 0.5001230+0.0000000i 0.4998679+0.0000000i 0.1086033+0.4874997i 0.1086033-0.4874997i 0.5001321-0.0000000i 
0.34505 0.0000 0138 0.010384 -0.003310 0.002896 0.4998677+0.0000000i 0.0932002+0.4906651i 0.0932002-0.4906651i 0.5001323+0.0000000i 0.4998610+0.0000000i 0.0932154+0.4906587i 0.0932154-0.4906587i 0.5001390-0.0000000i 
0.35005 0.0000 0147 0.010367 -0.003419 0.002940 0.4998581+0.0000000i 0.0777152+0.4933287i 0.0777152-0.4933287i 0.5001419+0.0000000i 0.4998539+0.0000000i 0.0777357+0.4933328i 0.0777357-0.4933328i 0.5001461+0.0000000i 
0.35505 0.0000 0153 0.010346 -0.003528 0.002984 0.4998462+0.0000000i 0.0621500+0.4954966i 0.0621500-0.4954966i 0.5001538+0.0000000i 0.4998466+0.0000000i 0.0621796+0.4955195i 0.0621796-0.4955195i 0.5001534+0.0000000i 
0.36005 0.0000 0158 0.010320 -0.003639 0.003026 0.4998360+0.0000000i 0.0465282+0.4971827i 0.0465282-0.4971827i 0.5001640+0.0000000i 0.4998393+0.0000000i 0.0465624+0.4972166i 0.0465624-0.4972166i 0.5001607+0.0000000i 
0.36505 0.0000 0160 0.010290 -0.003750 0.003068 0.4998278+0.0000000i 0.0308651+0.4983848i 0.0308651-0.4983848i 0.5001722-0.0000000i 0.4998318+0.0000000i 0.0308997+0.4984224i 0.0308997-0.4984224i 0.5001682+0.0000000i 
0.37005 0.0000 0163 0.010255 -0.003862 0.003108 0.4998194+0.0000000i 0.0151720+0.4990942i 0.0151720-0.4990942i 0.5001806-0.0000000i 0.4998243+0.0000000i 0.0152068+0.4991358i 0.0152068-0.4991358i 0.5001757+0.0000000i 
